index	*ID	version	disabled	spawnable	disableChronicle	DropConditionCalc	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Warriv's Snakeskin	1125	100		1	1				1	1	25	39	zlb	demonhide sash		5	5000				invbelt16				ac%		100	120	gold%		200	200	cheap		5	5	mag%		25	25	manasteal		5	5	mana/lvl	6																												0
Xenophobe	1126	100		1	1				1	1	25	36	zlb	demonhide sash		5	5000				invbelt14				ac%		100	150	ac/lvl	6			hit-skill	Terror	10	3	skilltab	6	1	1	skill	Terror	3	3	dmg%		15	20	dmg-to-mana		5	10																						0
Megaladon Wrap	1127	100		1	1				1	1	25	41	zvb	sharkskin belt		5	5000				invbelt3				ac/lvl	10			heal-kill		6	10	lifesteal		4	7	crush		10	10	dmg-max		10	15	res-ltng/lvl	6			dex		10	10																						0
Wave Whipper	1128	100		1	1				1	1	25	37	zvb	sharkskin belt		5	5000				invbelt8				ac%		110	160	res-cold		25	35	crush		5	10	deadly		15	15	move2		20	20																														0
Meshif's Coil	1129	100		1	1				1	1	22	45	zmb	mesh belt		5	5000				invbelt2				ac%		130	160	move3		30	30	balance1		15	15	gethit-skill	Iron Maiden	4	14	regen-mana		30	30	res-cold-max		10	10	res-cold/lvl	7																								0
Weakling's Whimper	1130	100		1	1				1	1	25	40	zmb	mesh belt		5	5000				invbelt13				ac%		125	165	gethit-skill	Weaken	20	1	charged	Weaken	15	25	str		20	20	res-pois		10	25	res-fire		35	35																										0
Assassin Vine	1131	100		1	1				1	1	43	48	ztb	battle belt		5	5000	cred	cred						ass		1	1	dex		20	30	str		20	30	balance2		20	20	extra-ltng		10	10	res-ltng		20	40																										0
Fortune's Fool	1132	100		1	1				1	1	43	46	ztb	battle belt		5	5000	dgld	dgld						ac%		75	100	ac		50	75	gold%/lvl	16			mag%/lvl	6			enr		-5	-5	vit		-5	-5	oskill	Find Item	1	1																						0
The Art of War	1133	100		1	1				1	1	43	54	zhb	war belt		5	5000				invbelt4				ac%		150	180	str		35	35	dmg/lvl	4			swing1		15	15	bar		1	1	vit/lvl	4			res-ltng		35	35																						0
Shattered Dreams	1134	100		1	1				1	1	43	50	zhb	war belt		5	5000	blac	blac						ac%		135	175	dmg-max		5	15	stupidity		1	1	swing1		10	10	regen		5	5	deadly		10	10	oskill	Melee Mastery	1	1																						0
Duskwreath	1135	100		1	1				2	1	52	60	ulc	spiderweb sash		5	5000				invbelt10				ac		100	150	fade		1	1	res-all		35	35	balance2		20	20	cast1		15	15	enr		30	30																										0
Dreadfury	1136	100		1	1				1	1	56	64	uvc	vampirefang belt		5	5000				invbelt7				ac%		120	150	dru		1	1	swing1		10	10	howl		33	33	skill-rand	2	221	250	extra-fire		10	15																										0
Kashya's Ward	1137	100		1	1				1	1	85	85	umc	mithril coil		5	5000				invbelt9				ac%		100	150	red-dmg%		10	15	res-mag		10	15	abs-fire/lvl	2			abs-ltng/lvl	2			abs-cold/lvl	2			regen-mana		25	50																						0
Wisdom's Wrap	1138	100		1	1				1	1	72	78	utc	troll belt		5	5000								ac%		150	200	addxp		3	3	enr/lvl	5			allskills		1	1	rep-dur	30			dmg-to-mana		15	15	res-all		15	20																						0
Ecstacy of Ishtar	1139	100		1	1				1	1	86	80	utc	Troll Belt		5	5000	cblu	cblu						ac%		100	200	hp%		10	10	mana%		10	10	red-dmg		10	15	red-mag		10	15	pierce		20	30	dmg-norm		10	20																						0
Lachdanan's Wrap	1140	100		1	1				1	1	85	85	uhc	colossus girdle		5	5000								ac		200	300	ease		20	40	lifesteal		8	8	manasteal		8	8	res-all		30	40	block2		20	20	allskills		1	1	dmg%		30	50																		0
Ogre's Embrace	1141	100		1	1				1	1	76	80	uhc	Colossus Girdle		5	5000	dgrn	dgrn						ac%		175	200	ac		75	125	red-dmg%		10	15	str/lvl	8			vit/lvl	8			res-pois		100	100	rep-dur	25			oskill	Iron Skin	1	1																		0
Damsel of Destruction	1142	100		1	1				1	1	12	20	am1	stag bow		5	5000	blac	blac		invam1				dmg%		80	120	dmg-norm		20	40	skilltab	0	1	2	swing1		15	15	dmg-elem	200	10	25	mana-kill		5	5	balance2		20	20	oskill_hide	Hidden Charm Passive	1	1																		0
Bleeding Branch	1143	100		1	1				1	1	1	14	am1	stag bow		5	5000	cred	cred		invam1				dmg%		120	160	dmg-norm		10	20	lifesteal		5	8	noheal		1	1	openwounds		15	15	bloody		1	1	sock		2	2	oskill_hide	Hidden Charm Passive	1	1																		0
Angelsong	1144	100		1	1				1	1	1	14	am1	Stag Bow		5	5000	dgld	dgld		invam1				dmg%		75	110	dmg-norm		5	10	swing1		10	10	aura	Defiance	1	3	pierce-fire		10	10	pierce-cold		10	10	dmg-demon		200	200	oskill_hide	Hidden Charm Passive	1	1																		0
Kashya's Retort	1145	100		1	1				1	1	25	30	am2	reflex bow		5	5000	oran	oran		invam2				dmg%		80	120	dmg-norm		25	50	skilltab	0	1	1	ama		1	1	gethit-skill	Scorchveil	20	1	light		2	4	mana		35	35	manasteal		5	5	oskill_hide	Hidden Charm Passive	1	1														0
Elvenbrand	1146	100		1	1				1	1	12	24	am2	reflex bow		5	5000	dgrn	dgrn		invam2				dmg%		125	175	ama		1	1	skilltab	0	1	2	swing2		20	20	dex		20	20	ignore-ac		1	1	pierce		20	20	dmg-norm		10	20	oskill_hide	Hidden Charm Passive	1	1														0
Heartpiercer	1147	100		1	1				1	1	90	90	amc	Grand Matron Bow		5	5000	whit	whit		invam2				dmg%		325	425	deadly		25	35	pierce		25	35	ama		3	3	dmg-min		100	200	dmg-max		100	300	ignore-ac		1	1	swing1		30	40	oskill_hide	Hidden Charm Passive	1	1														0
Brightmangler	1148	100		1	1				1	1	25	40	am6	ashwood bow		5	5000				invbow15				dmg%		120	200	dmg-min		25	35	dmg-max		50	100	skilltab	1	1	3	deadly		20	20	openwounds		10	20	res-ltng		35	35	res-pois		20	30	oskill_hide	Hidden Charm Passive	1	1														0
Abyssal Torment	1149	100		1	1				1	1	90	90	amb	Matriarchal Bow		5	5000	lgry	lgry		invam1				dmg%		300	395	skilltab	0	3	4	dmg/lvl	16			hit-skill	Dim Vision	10	10	skill	Valkyrie	3	5	oskill	Amplify Damage	1	1	rip		1	1	oskill_hide	Hidden Charm Passive	1	1																		0
Windrunner	1150	100		1	1				1	1	25	33	am6	ashwood bow		5	5000	lgrn	lgrn		invam1				dmg%		125	190	skilltab	0	1	2	swing2		20	20	res-all		15	25	pierce		25	25	move2		25	25	magicarrow		1	1	att%		25	25	skill	Magic Arrow	3	5	dmg-norm		20	40	oskill_hide	Hidden Charm Passive	1	1						0
Distant Thunder	1151	100		1	1				1	1	35	45	am7	ceremonial bow		5	5000	dyel	dyel		invam2				dmg%		100	100	dmg-min		25	50	dmg-max		90	140	swing3		30	30	allskills		1	1	move2		25	25	att		250	250	dmg-ltng		1	300	oskill_hide	Hidden Charm Passive	1	1														0
The Four Winds	1152	100		1	1				1	1	30	40	am7	ceremonial bow		5	5000	dred	dred		invam2				dmg%		220	270	dmg-norm		15	30	dmg-ltng		1	200	oskill	Warp	1	1	move3		50	50	ama		1	2	skilltab	1	1	2	oskill_hide	Hidden Charm Passive	1	1																		0
Laurana's Elven Bow	1153	100		1	1				1	1	60	73	amb	Matriarchal Bow		5	5000	dblu	dgld		invbow14				dmg%		260	325	dmg-norm		50	100	dmg%/lvl	14			swing3		50	50	pierce		40	40	balance2		30	30	sock		2	5	oskill_hide	Hidden Charm Passive	1	1																		0
Wintershock	1154	100		1	1				1	1	84	87	amc	Grand Matron Bow		5	5000	lgld	lgld		invam2				dmg%		300	350	dmg-norm		50	100	dmg-cold	50	100	200	dmg-ltng		1	777	pierce-ltng		10	20	pierce-cold		10	20	aura	Holy Shock	20	20	hit-skill	Winters Pulse	15	30	hit-skill	Storm Pulse	15	30	oskill_hide	Hidden Charm Passive	1	1										0
Quicksilver	1155	100		1	1				1	1	85	81	amc	Grand Matron Bow		5	5000	whit			invam2				dmg%		200	300	dmg/lvl	16			dmg-norm		40	100	swing3		50	50	skilltab	0	3	3	ama		2	2	addxp		5	10	res-all		20	30	oskill_hide	Hidden Charm Passive	1	1														0
Shieldmaiden's Toss	1156	100		1	1				1	1	12	25	am5	maiden javelin		5	5000	cgrn	cgrn						dmg%		75	100	dmg-norm		30	50	skilltab	2	1	3	stack		80	80	rep-quant	100			pierce		25	25	dex		15	15	deadly		15	15	oskill_hide	Hidden Charm Passive	1	1														0
Hastemaster	1157	100		1	1				1	1	12	18	am5	maiden javelin		5	5000	dyel	dyel						dmg%		120	160	dmg-norm		10	20	rep-quant	100			stack		55	55	swing3		40	40	block2		30	30	hit-skill	Quickness	10	1	oskill_hide	Hidden Charm Passive	1	1																		0
Raptorshaft	1158	100		1	1				1	1	12	20	am5	Maiden Javelin		5	5000								dmg%		75	115	ama		1	1	skilltab	2	1	1	dmg-norm		10	20	stack		50	50	rep-quant	100			noheal		1	1	addxp		15	15	oskill_hide	Hidden Charm Passive	1	1														0
Lady in Waiting	1159	100		1	1				1	1	40	60	ama	ceremonial javelin		5	5000	cred	cred						dmg%		225	300	dmg-norm		30	60	dmg/lvl	6			stack		100	100	rep-quant	100			skilltab	2	2	3	allskills		1	1	rip		1	1	swing1		20	20	oskill_hide	Hidden Charm Passive	1	1										0
Sister of the Sun	1160	100		1	1				1	1	35	45	ama	ceremonial javelin		5	5000	oran	oran						dmg%		215	270	ama		2	2	dmg-fire		75	100	res-cold		35	35	res-fire		50	50	skilltab	2	1	3	rep-quant	100			stack		155	155	oskill_hide	Hidden Charm Passive	1	1														0
Pegasus Wing	1161	100		1	1				1	1	85	80	amf	matriarchal javelin		5	5000	dyel	dyel						dmg%		275	350	stack		100	100	rep-quant	100			skilltab	2	1	3	allskills		2	2	oskill	Chasm Break	10	10	oskill	Teleport	1	1	balance3		40	40	oskill_hide	Hidden Charm Passive	1	1														0
Wrathshifter	1162	100		1	1				1	1	1	15	am3	maiden spear		5	5000								dmg-min		20	40	dmg-max		50	70	skilltab	2	1	2	swing1		20	20	oskill	Bone Armor	2	2	gethit-skill	Teleport	10	1	oskill_hide	Hidden Charm Passive	1	1																						0
Hawkfire	1163	100		1	1				1	1	1	14	am3	maiden spear		5	5000	lred	lred						dmg%		80	120	dmg-fire		5	18	res-fire		35	35	ama		1	1	hp		35	35	swing1		25	25	aura	Holy Fire	1	2	oskill_hide	Hidden Charm Passive	1	1																		0
Stygian Harlot	1164	100		1	1				1	1	12	20	am4	maiden pike		5	5000								dmg%		30	60	dmg-norm		80	120	swing2		20	20	skilltab	2	1	2	hp		40	50	lifesteal		6	8	sock		2	2	oskill_hide	Hidden Charm Passive	1	1																		0
Sepia Shard	1165	100		1	1				1	1	12	20	am4	maiden pike		5	5000	cblu	cblu						dmg%		100	125	dmg-cold	200	20	30	res-cold		20	40	skilltab	2	2	2	mana		35	50	att		100	200	manasteal		6		oskill_hide	Hidden Charm Passive	1	1																		0
Vile Temptress	1166	100		1	1				1	1	24	35	am8	ceremonial spear		5	5000	blac	blac						dmg%		175	225	dmg/lvl	8			ama		1	1	skilltab	1	2	2	hit-skill	Arc	12	1	addxp		3	5	dex		25	25	ease		-20	-20	oskill_hide	Hidden Charm Passive	1	1														0
Silverdawn	1167	100		1	1				1	1	25	33	am8	ceremonial spear		5	5000	whit							dmg%		140	200	ama		1	1	skilltab	1	2	2	dmg-ltng		1	200	res-ltng		50	65	light		4	7	dmg-demon		100	200	hp/lvl	9			dmg-norm		20	60	oskill_hide	Hidden Charm Passive	1	1										0
Murder's Mistress	1168	100		1	1				1	1	35	50	am9	ceremonial pike		5	5000	dgry	dgry						dmg%		150	250	dmg%/lvl	12			ama		1	1	swing3		50	50	deadly		15	15	oskill	Melee Mastery	1	1	rep-dur	10			heal-kill		10	15	mag%		35	70	oskill_hide	Hidden Charm Passive	1	1										0
Valkyrie's Calling	1169	100		1	1				1	1	64	73	amd	matriarchal spear		5	5000	whit	whit						dmg%		250	300	dmg-norm		50	100	skill	Valkyrie	3	6	charged	Quickness	10	15	skilltab	2	3	3	allskills		1	2	res-all		30	30	mana		75	75	oskill_hide	Hidden Charm Passive	1	1														0
Amanda's Point	1170	100		1	1				1	1	85	80	ame	matriarchal pike		5	5000								dmg%		300	350	dmg/lvl	24			skilltab	2	2	2	sock		4	6	ama		2	2	crush		15	20	oskill_hide	Hidden Charm Passive	1	1																						0
Manticore's Retort	1171	100		1	1				1	1	64	70	ame	Matriarchal Pike		5	5000	oran	lred						dmg%		200	300	dmg-norm		50	100	swing3		35	35	extra-pois		20	30	skilltab	2	2	3	res-pois-max		5	10	res-pois		50	50	res-pois-len		50	50	oskill_hide	Hidden Charm Passive	1	1														0
Queasespreader	1172	100		1	1				1	1	1	5	ob1	eagle orb		5	5000								dmg-norm		10	20	swing2		25	25	sor		1	1	dmg-ltng		1	30	res-ltng		35	50	mana		25	25	oskill_hide	Hidden Charm Passive	1	1																						0
Sparrow's Trill	1173	100		1	1				1	1	1	6	ob1	Eagle Orb		5	5000	oran	oran						dmg-norm		3	8	skilltab	5	1	1	mana		25	35	ac		15	25	move1		20	20	oskill_hide	Hidden Charm Passive	1	1																										0
Cyanstrike	1174	100		1	1				1	1	1	10	ob2	sacred orb		5	5000	dyel	dyel						dmg-norm		15	20	swing1		15	20	hit-skill	Ice Blast	25	10	res-pois		25	25	extra-cold		10	10	heal-kill		5	5	oskill_hide	Hidden Charm Passive	1	1																						0
Flicker Cinch	1175	100		1	1				1	1	1	10	ob2	Sacred Globe		5	5000								dmg%		80	120	block		20	30	block2		20	20	hp		25	25	mana		35	35	mag%		20	30	oskill_hide	Hidden Charm Passive	1	1																						0
Revoker	1176	100		1	1				1	1	17	25	ob3	smoked sphere		5	5000	dred	dred						allskills		1	1	mag%		20	20	cast2		25	25	extra-ltng		10	15	res-all		20	20	hp		35	50	charged	Shout	60	8	oskill_hide	Hidden Charm Passive	1	1																		0
Soul Stinger	1177	100		1	1				2	1	1	15	ob3	Smoked Sphere		5	5000	dgry	dgry						sor		1	1	rip		1	1	oskill	Might	1	2	hit-skill	Amplify Damage	75	5	dmg-norm		10	20	manasteal		35	35	oskill_hide	Hidden Charm Passive	1	1																						0
Zapcaster	1178	100		1	1				1	1	12	20	ob4	clasped orb		5	5000	lgry	lgry						skilltab	4	2	2	pierce-ltng		10	15	abs-ltng		8	12	hit-skill	Lightning	15	5	dmg-min		10	10	dmg-max		25	35	swing2		20	20	oskill_hide	Hidden Charm Passive	1	1																		0
Thought Splinter	1179	100		1	1				1	1	12	15	ob4	Clasped Orb		5	5000								enr/lvl	8			skilltab	4	1	2	skilltab	3	1	2	skilltab	5	1	2	heal-kill		5	5	addxp		5	5	oskill_hide	Hidden Charm Passive	1	1																						0
Unseeing Eye	1180	100		1	1				1	1	12	20	ob5	Jared's Stone		5	5000								allskills		1	1	addxp		10	10	cast2		20	20	mana		45	45	ac		70	100	dmg-to-mana		10	15	mana-kill		4	6	oskill_hide	Hidden Charm Passive	1	1																		0
Eternity Cable	1181	100		1	1				1	1	25	30	ob5	Jared's Stone		5	5000	blac	blac						sor		2	2	skill-rand	3	36	60	skill-rand	3	36	60	skill-rand	3	36	60	res-all		15	20	str		25	25	dex		15	15	oskill_hide	Hidden Charm Passive	1	1																		0
Terminus Rod	1182	100		1	1				1	1	25	40	ob6	glowing orb		5	5000								sor		2	2	extra-fire		10	15	pierce-fire		10	15	abs-fire%		5	10	res-fire		30	50	dex		15	15	enr		15	15	oskill_hide	Hidden Charm Passive	1	1																		0
Dreamsplitter	1183	100		1	1				2	1	25	30	ob6	Glowing Orb		5	5000	cgrn	cgrn						allskills		1	1	skill-rand	3	36	60	all-stats		15	25	mag%		25	50	gold%		50	100	skill-rand	3	36	65	regen		10	15	oskill_hide	Hidden Charm Passive	1	1																		0
Drehya's Globe	1184	100		1	1				1	1	24	40	ob7	crystalline globe		5	5000								sor		2	2	extra-cold		10	15	pierce-cold		10	15	abs-cold%		5	10	res-cold		30	50	str		15	15	vit		15	15	oskill_hide	Hidden Charm Passive	1	1																		0
Murdering Shard	1185	100		1	1				2	1	25	27	ob7	Crystalline Globe		5	5000	lpur	lpur						dmg-norm		30	60	dmg%		100	150	swing2		40	40	lifesteal		10	15	slow		10	15	sor		2	2	heal-kill		10	15	oskill	Sacrifice	1	1	oskill_hide	Hidden Charm Passive	1	1														0
Starbreaker	1186	100		1	1				1	1	25	40	ob8	cloudy sphere		5	5000	blac	blac						sor		2	2	extra-ltng		10	15	pierce-ltng		10	15	abs-ltng%		5	10	res-ltng		30	50	str		15	15	dex		15	15	oskill_hide	Hidden Charm Passive	1	1																		0
Dawn Shadow	1187	100		1	1				2	1	25	30	ob8	Cloudy Sphere		5	5000								mana%		10	20	hp%		10	20	allskills		2	2	cast2		20	30	regen-mana		50	150	balance2		30	30	block		25	25	oskill_hide	Hidden Charm Passive	1	1																		0
Manna from Heaven	1188	100		1	1				1	1	30	50	ob9	sparkling ball		5	5000	cblu	cblu						sor		1	2	res-all-max		3	5	res-all		30	40	mana/lvl	24			gethit-skill	Energy Shield	15	15	balance1		15	15	abs-mag		10	15	res-pois-len		30	50	oskill_hide	Hidden Charm Passive	1	1														0
Desecration Sigil	1189	100		1	1				1	1	30	50	ob9	Sparkling Ball		5	5000	whit							oskill	Skeleton Mastery	5	10	oskill	Raise Skeleton	3	5	oskill	Raise Skeletal Mage	3	5	cast3		40	40	cheap		5	5	mana/lvl	8			sor		2	2	oskill	Decrepify	1	1	oskill_hide	Hidden Charm Passive	1	1														0
Quandary of the Queen	1190	100		1	1				1	1	25	39	oba	swirling crystal		5	5000	dgld	dgld						allskills		1	2	vit/lvl	4			enr/lvl	4			str/lvl	3			dex/lvl	3			cast3		30	30	red-dmg%		10	15	regen		8	10	regen-mana		50	50	oskill_hide	Hidden Charm Passive	1	1										0
Star of Bethlehem	1191	100		1	1				1	1	80	80	obb	heavenly stone		5	5000	lyel	lyel						gethit-skill	Star of Bethlehem	50	1	res-all		15	20	aura	Conviction	5	10	allskills		2	2	skill	Nova	2	5	charged	Battle Command	5	25	oskill_hide	Hidden Charm Passive	1	1																						0
Haven of Light	1192	100		1	1				1	1	85	81	obb	heavenly stone		5	5000	whit							sor		3	3	pierce-ltng		20	30	pierce-fire		20	30	skill	Lightning Mastery	3	3	skill	Fire Mastery	3	3	mana-kill		10	15	oskill_hide	Hidden Charm Passive	1	1																						0
Utterance of Power	1193	100		1	1				1	1	56	65	obc	eldritch orb		5	5000	cgrn	cgrn						extra-fire		30	50	extra-cold		30	50	extra-ltng		30	50	charged	War Cry	200	7	charged	Lower Resist	20	5	oskill_hide	Hidden Charm Passive	1	1																										0
Star of David	1194	100		1	1				1	1	63	72	obd	demon heart		5	5000								allskills		2	2	dex		25	25	enr		25	25	ac%		25	25	heal-kill		10	15	res-mag		10	15	move2		20	20	sock		1	2	aura	Cleansing	5	10	oskill_hide	Hidden Charm Passive	1	1										0
Soul Of The Tanar'Ri	1195	100		1	1				1	1	60	68	obd	Demon Heart		5	5000	blac	blac						allskills		1	2	red-dmg%		10	20	abs-fire%		10	10	abs-cold%		10	10	abs-ltng%		10	10	fade		1	1	move3		30	30	mana%		40	50	oskill_hide	Hidden Charm Passive	1	1														0
Unity of Mind	1196	100		1	1				3	1	65	73	obe	vortex orb		5	5000	oran	oran						sor		2	2	mana/lvl	24			enr%		15	20	regen-mana		100	100	skill	Energy Shield	4	6	cast3		50	50	res-all		40	40	addxp		5	5	oskill_hide	Hidden Charm Passive	1	1														0
Athena's Tirade	1197	100		1	1				1	1	72	78	obe	Vortex Orb		5	5000								skilltab	5	2	3	cast2		30	40	skill	Blizzard	2	4	skill	Frozen Orb	2	4	extra-cold		10	20	aura	Conviction	3	6	oskill_hide	Hidden Charm Passive	1	1																						0
Oracle's Riddle	1198	100		1	1				1	1	80	84	obf	dimensional shard		5	5000								dmg-min		50	100	dmg-max		200	300	swing3		50	50	lifesteal		9	9	ignore-ac		1	1	dmg%		250	300	att		150	200	balance3		40	40	sor		1	2	oskill	Zeal	2	4	oskill_hide	Hidden Charm Passive	1	1						0
Blanched Death	1199	100		1	1				1	1	1	8	ne1	preserved head		5	5000				invnec7				extra-mag		10	10	skill	Skeleton Mastery	1	3	skill-rand	2	66	76	res-cold		25	35	gethit-skill	Teeth	20	4	nec		1	1	oskill_hide	Hidden Charm Passive	1	1																						0
Goblin Grin	1200	100		1	1				1	1	1	4	ne1	Preserved Head		5	5000	lgrn	lgrn						ac%		40	60	block		15	20	block1		20	20	skill	Skeleton Mastery	1	2	skill	Raise Skeleton	1	2	cast1		15	15	oskill_hide	Hidden Charm Passive	1	1																						0
Paingiver	1201	100		1	1				1	1	1	12	ne2	zombie head		5	5000				invnec8				ac		25	40	skilltab	6	1	3	skill	Amplify Damage	1	3	mana		25	25	block		15	25	block1		15	15	oskill_hide	Hidden Charm Passive	1	1																						0
Death's Witness	1202	100		1	1				1	1	1	9	ne2	Zombie Head		5	5000	dgry	dgry						ac%		45	65	block		10	20	move2		25	25	nec		1	1	ac		15	25	res-pois		35	35	cast1		15	15	oskill_hide	Hidden Charm Passive	1	1																		0
Death Mauler	1203	100		1	1				1	1	1	19	ne3	unraveller head		5	5000								ac%		75	100	skilltab	7	1	2	charged	Bash	100	10	att		200	200	dmg-norm		5	10	block2		20	20	balance2		25	25	oskill_hide	Hidden Charm Passive	1	1																		0
Scalp Hunter	1204	100		1	1				1	1	1	15	ne3	Unraveller Head		5	5000	lyel	lyel						ac%		50	70	block		20	30	block2		25	25	skilltab	6	1	3	red-dmg		8	10	demon-heal		15	15	cast2		20	20	oskill_hide	Hidden Charm Passive	1	1																		0
Steel Weevil	1205	100		1	1				1	1	12	24	ne4	gargoyle head		5	5000	whit							ac%		80	110	skilltab	8	1	2	skill-rand	2	66	89	skill-rand	3	66	89	red-dmg%		10	10	block3		20	30	res-all		20	30	oskill_hide	Hidden Charm Passive	1	1																		0
Sinister Smile	1206	100		1	1				1	1	12	20	ne4	Gargoyle Head		5	5000				invnec1				ac%		55	75	balance2		25	25	block2		25	25	nec		1	1	res-ltng		25	40	res-fire		35	50	hp		50	50	oskill_hide	Hidden Charm Passive	1	1																		0
Undead Beholder	1207	100		1	1				1	1	25	30	ne5	demon head		5	5000	dyel	dyel						ac		45	60	allskills		1	1	block		25	25	balance2		15	15	move2		20	20	rep-dur	20			heal-kill		8	10	mana-kill		5	7	oskill_hide	Hidden Charm Passive	1	1														0
Chiaroscuro Visage	1208	100		1	1				1	1	17	26	ne5	Demon Head		5	5000	lred	lred						ac%		60	80	block		25	35	swing2		20	20	skilltab	7	1	3	dmg-norm		10	20	crush		10	10	dmg-pois	50	200	200	cast2		25	25	oskill_hide	Hidden Charm Passive	1	1														0
King Tut	1209	100		1	1				1	1	25	35	ne6	mummified trophy		5	5000								ac%		110	140	nec		1	2	gold%		100	100	mag%/lvl	8			block		15	20	block2		15	20	skill-rand	2	66	95	skill-rand	3	66	95	oskill_hide	Hidden Charm Passive	1	1														0
Janus' Face	1210	100		1	1				1	1	25	29	ne6	Mummified Trophy		5	5000				invnec2				ac%		90	110	balance3		25	25	block2		20	20	skilltab	8	1	3	mana-kill		3	5	pierce-pois		10	10	dmg-to-mana		10	15	cast2		20	20	oskill_hide	Hidden Charm Passive	1	1														0
Mystery of Life	1211	100		1	1				1	1	25	39	ne7	fetish trophy		5	5000								ac		75	125	skill	Skeleton Mastery	4	6	skill	Raise Skeleton	3	5	skill	Raise Skeletal Mage	2	4	skill	Revive	1	3	hp%		10	10	hp/lvl	8			heal-kill		10	10	addxp		3	5	oskill_hide	Hidden Charm Passive	1	1										0
Carrion Comfort	1212	100		1	1				1	1	25	33	ne7	Fetish Trophy		5	5000	lpur	lpur						ac%		100	140	block		15	20	balance2		25	25	skill-rand	3	66	95	skill-rand	2	76	95	skill-rand	1	88	95	abs-mag		8	12	cast2		25	25	oskill_hide	Hidden Charm Passive	1	1														0
Fallen Hero's Disgrace	1213	100		1	1				1	1	25	43	ne8	Sexton Trophy		5	5000	dgry	dgry						ac/lvl	16	140		nec		2	2	dex		30	30	str		30	30	block		25	50	red-dmg		10	15	red-mag		10	15	death-skill	Hailstorm	100	15	oskill_hide	Hidden Charm Passive	1	1														0
Rictus of the Joker	1214	100		1	1				1	1	25	36	ne8	Sexton Trophy		5	5000				invnec6				ac%		100	150	block		25	50	block2		30	30	skilltab	6	1	3	nec		2	2	sock		2	2	oskill_hide	Hidden Charm Passive	1	1																						0
Vow of Revenge	1215	100		1	1				1	1	35	47	ne9	cantor trophy		5	5000								ac%		120	170	skilltab	7	1	2	nec		1	2	block		15	25	death-skill	Arc	100	20	dex		20	20	res-fire		30	50	res-ltng		30	50	res-pois-len		30	50	oskill_hide	Hidden Charm Passive	1	1										0
Dreamweaver	1216	100		1	1				1	1	25	40	ne9	Cantor Trophy		5	5000	blac	blac						ac%		120	170	balance3		25	25	move2		25	25	nec		2	2	mag%		50	50	str		20	20	dex		20	20	rep-dur	10			dur		100	100	oskill_hide	Hidden Charm Passive	1	1										0
Putrid Defiler	1217	100		1	1				1	1	42	52	nea	heirophant trophy		5	5000				invnec3				ac		135	170	skilltab	8	1	2	nec		2	2	block		35	35	levelup-skill	Storm Pulse	100	50	vit		20	20	res-pois		50	50	res-cold		50	50	nofreeze		1	1	oskill_hide	Hidden Charm Passive	1	1										0
Venomlord's Visage	1218	100		1	1				1	1	43	55	neb	minion skull		5	5000	dgrn	dgrn						ac%		150	200	oskill	Inferno	15	20	res-fire		35	50	allskills		1	1	demon-heal		20	20	skill-rand	3	66	95	skill-rand	3	66	95	addxp		3	5	oskill_hide	Hidden Charm Passive	1	1														0
Reaper's Trophy	1219	100		1	1				1	1	39	49	neb	Minion Skull		5	5000								ac%		130	180	block		20	30	block2		20	30	allskills		2	2	hp/lvl	12			mana/lvl	12			res-cold		45	45	rip		1	1	oskill_hide	Hidden Charm Passive	1	1														0
Devil's Advocate	1220	100		1	1				1	1	70	75	neg	hellspawn skull		5	5000				invnec10				extra_bonespears		1	1	cast1		20	30	nec		1	2	extra-mag		15	20	ac		150	200	skill-rand	3	66	95	res-all		20	30	oskill_hide	Hidden Charm Passive	1	1																		0
Dreadmother	1221	100		1	1				1	1	47	57	neg	Hellspawn Skull		5	5000	oran	oran						ac%		160	200	balance2		25	25	move2		25	25	skilltab	7	1	3	oskill	Poison Javelin	5	8	oskill	Plague Javelin	5	8	pierce-pois		15	20	extra-pois		15	20	skill	Poison Nova	3	5	oskill_hide	Hidden Charm Passive	1	1										0
Rathmas Desire	1222	100		1	1				1	1	83	87	ned	overseer skull		5	5000				invnec4				ac%		200	300	nec		2	3	extra_skelewarriors		2	3	extra_skelemages		2	3	skill-rand	3	76	95	res-all		20	30	hp%		-10	-10	oskill_hide	Hidden Charm Passive	1	1																		0
Jondars Horde	1223	100		1	1				1	1	70	75	ned	Overseer Skull		5	5000	cred	cred						ac%		150	200	nec		2	3	skilltab	8	2	3	extra_skelewarriors		6	6	extra_skelemages		-6	-6	oskill	Concentration	5	5	ease		50	50	oskill_hide	Hidden Charm Passive	1	1																		0
