skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auraevent4	auraeventfunc4	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	requirespettype	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	requiresweapon	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	periodicClearAura	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	calc7	*calc7desc	calc8	*calc8desc	calc9	*calc9desc	calc10	*calc10desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	Param13	*Param13Description	Param14	*Param14Description	Param15	*Param15Description	Param16	*Param16Description	Param17	*Param17Description	Param18	*Param18Description	Param19	*Param19Description	Param20	*Param20Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Mark of the Wolf	372		mark of the wolf		18																			markwolf		4500		item_tohit_percent	par1	item_maxhp_percent	par2																																																																																																				0		none																			1																1				1						1									2	wolf					0	0										1																															30	Attack Rating %	40	Life %																																					1								8																																				50	1000	0
Summon Goatman	373	war	summon goatman		56																			warlockdemonground																domeleedamage	16										velocitypercent	(skill('Demonic Mastery'.dm91))	tohit	skill('Demonic Mastery'.ln56) + ln78	damagepercent	(ln56 + (skill('Demonic Mastery'.ln21))	armorclass	ln91	item_normaldamage	pnma	damageresist	skill('Blood Oath'.dm91)	item_fasterattackrate	"min(ln21, 25)+(skill('Demonic Mastery'.ln12))"	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)	item_crushingblow	(skill('Death Mark'.blvl)*par2)+5											wargoatman	demon	skill('Demonic Mastery'.clc1)		S1	Goatman Stun	(lvl < 2)?0:(lvl)	Goatman Berserk	(lvl <3)?0:(lvl)	Goatman Frenzy	(lvl < 4)?0:(lvl)	Goatman Cleave	(lvl <5)?0:(lvl)						Warlock_Skill_Cast_Khazra_03											warlock_shadow_cast_2																						1	5		none													SC	SC	S1					4																									1	25												15		0	1				1	1	7	30	1	1	1											((par1 * (lvl - 1))+skill('Blood Oath'.ln56))	HP % Modifier																			35	HP % per level	1	% Chance Crushing blow syn		Flat Damage baseline		Flat Damage per level	10	Damage % baseline	10	Damage % per level	140	Attack Rating  Baseline	40	Attack Rating per level flat	100	Defense baseline	20	Defense per level	10	attack speed baseline	1	attack speed increase per level																	1								8		1	1	2	4	8	10																													50	1000	0
Demonic Mastery	374	war	demonic mastery																																													demonic_mastery																																																																																		1	0		none													SC	SC	xx																														1	25					Summon Goatman									0	0					0	8	0	0	1	1								1			min(1+(skill('Summon Goatman'.lvl)+skill('Summon Tainted'.lvl)+skill('Summon Defiler'.lvl)+lvl)/par3,par4)	Pet Max																			5	attack speed baseline	1	attack speed increase per level	8	Levels per additional pet	4	Pet cap	25	Attack Rating % baseline	25	Attack Rating % per level					5	move speed % baseline	39	movespeed % per level	10	Damage % baseline	10	Damage % per level																	1								8																																				50	1000	0
Death Mark	375	war	death mark		155																				death_mark	ln34	par9	armorclass	ln56	normal_damage_reduction	ln12	magic_damage_reduction	ln12																																															demon		1													warlock_death_mark_pet		Warlock_Skill_Death_Mark_Cast_01											warlock_fire_cast_1																						1	9		none													SC	SC	S2																														6	25					Summon Goatman							20		1	1				1	1	6	9	1	1	1											1	Clear some CC from pet	skill('Demonic Mastery'.clc1)	Max pet count																	-5	damage received increased baseline	-2	damage received increased per level	125	debuff duration baseline	13	debuff duration per level	-50	armor class decreased baseline	-35	armor class decreased per level	2	Synergy Movespeed Per Level			38	teleport distance																							1								8																																				50	1000	0
Summon Tainted	376	war	summon tainted		56																			warlockdemonground																											velocitypercent	(skill('Demonic Mastery'.dm91))	passive_fire_mastery	(ln91 + (skill('Demonic Mastery'.ln21))	armorclass	ln78	damageresist	skill('Blood Oath'.dm91)	item_fasterattackrate	"min(ln21, 25)+(skill('Demonic Mastery'.ln12))"	passive_fire_pierce	5+skill('Demonic Mastery'.lvl)	item_pierce_fire_immunity	stat('item_pierce_fire_immunity'.accr)															warbighead	demon	skill('Demonic Mastery'.clc1)		S1	Tainted Resist Fire	"min(ln56,30)"	Tainted Fire Ball	lvl										Warlock_Skill_Cast_Tainted_03											warlock_shadow_cast_2																						1	6		none													SC	SC	xx					4																									12	25					Summon Goatman							15		0	1				1	1	7	50	1	1	1											((par1 * (lvl - 1))+skill('Blood Oath'.ln56))	HP % Modifier																			35	HP % per level							1	Resist Fire Level Base	1	Resist Fire level per level	75	Defense baseline	20	Defense per level		Damage % baseline		Damage % per level of demonic mastery	10	attack speed baseline	1	attack speed increase per level																	1								8															fire																					50	1000	0
Summon Defiler	377	war	summon defiler		56																			warlockdemonground																											velocitypercent	(skill('Demonic Mastery'.dm91))	damagepercent	par2*((lvl - 1) + (skill('Demonic Mastery'.blvl))	armorclass	ln78	damageresist	skill('Blood Oath'.dm91)	item_fasterattackrate	"min((skill('Demonic Mastery'.ln12)), 25)"	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)																	warputriddefiler	demon	skill('Demonic Mastery'.clc1)		S3	Health Link	lvl	Summon Defiler	lvl										Warlock_Skill_Cast_Defiler_03											warlock_shadow_cast_2																						1	6		none													SC	SC	xx					4																									18	25					Summon Tainted							15		0	1				1	1	7	70	1	1	1											((par1 * (lvl - 1))+skill('Blood Oath'.ln56))	HP % Modifier																			35	HP % per level	10	damage percent baseline					35	Defense per level			125	Defense baseline	20	Defense per level																									1								8																																				50	1000	0
Blood Oath	378	war	blood oath	66																																				absorbresisteddamage	35							bloodoath			passive_summon_resist	dm78																												demon																	Warlock_Skill_Blood_Oath_03																																	1	0		none													SC	SC	xx						1																								6	25					Demonic Mastery			1						0	0					0	8	0	0	1	1								1			min(ln12,pa13)	Damage to % Demon	skill('Demonic Mastery'.clc1)	Max pet count																	5	Damage to % Demon baseline	2	Damage to % Demon per level	10	HP Mana Stamina % baseline	1	HP Mana Stamina % per level	50	HP baseline	35	HP % Per level	3	Resistance % Min	79	Resistance % Max	1	Physcial damage reduction baseline	12	Physical Damage Reduction cap	25	Synergy Defense per level with Demonic Mastery	5	Syn HP regen	50	Dmg % Taken by Demon Cap															1								8																																				50	1000	0
Engorge	379	war	engorge	17	161																	engorgecast		engorge		ln56	1	damageresist	par7	lifedrainmindam	(skill('Engorge'.ln21))	lifedrainmaxdam	(skill('Engorge'.ln21))	item_fasterattackrate	"min(ln12, 35)"	armorclass	(skill('Blood Oath'.blvl)*skill('Blood Oath'.pa11))	hpregen	(skill('Blood Oath'.pa12)*skill('Blood Oath'.blvl))																																									demon		1														1	Warlock_Skill_Engorge_03											warlock_shadow_cast_2			21	102						engorge	engorgecorpseeffect											1	4		rng													SC	SC	xx								1		1	1																			24	25					Blood Boil									1	1				1	1	6	12	1	1	1											ln34	%Health healed to pet																			15	Attack Speed Baseline	1	attack speed per level	30	HP % Healed Baseline	1	HP % Healed  per level	125	baseline PDR duration	75	per level PDR duration	5	% damage reduction							15	life drain min syn	2	life drain max sin																	1								8																																				50	1000	0
Blood Boil	380	war	blood boil		160																						"min(ln34/3,11)"																																																					demon		1															Warlock_Skill_Blood_Boil_Cast_01										necromancer_corpseexp_1	warlock_fire_cast_1				105						bloodboilexplode												1	0		none													SC	SC	xx						0						0								1						1	necromancer_corpse_cast			18	25					Death Mark									1	1				1	1	6	15	1	1	1											"max(ln12, 5)"	% amount of pet health (1 demon)	"max((ln12/2), 5)"	% amount of pet health (2 demons)	"max((ln12/3), 5)"	% amount of pet health (3 demons)	3	Hit Delay													15	baseline for lifecost on demon pet	-1	cap for life cost for demon pet	12	Explosion Radius (half squares) baseline	1	Radius cap (half squares)							20	Damage synergy																									1								8		10	8	10	12	16	20	20	10	12	18	26	30	(skill('Engorge'.blvl))*par8	fire	10	8	10	12	16	20	20	10	12	18	26	30	(skill('Blood Oath'.blvl))*par8								50	1000	0
Consume	381	war	consume	69	159																			consume		ln12		item_maxhp_percent	ln34	velocitypercent	dm56																																																	demon		1		Consume	lvl											1	Warlock_Skill_Consume_03											warlock_shadow_cast_2			56																			1	3		none													SC	SC	xx						1						1																		30	25					Blood Oath									0	1				1	1	8	25	1	1	1		1	25	1							100	% amount of pets health																			1000	Duration baseline	500	Duration per level	5	Max health % Baseline	1	Max health % per level	10	Movement Speed Baseline	46	Movement speed per level																													1								8																																				50	1000	0
Bind Demon	382	war	bind demon	30	158													binddemonchannelmaker						bind_demon	bind_demon_underling																										velocitypercent	(skill('Demonic Mastery'.dm91))	tohit	skill('Demonic Mastery'.ln56) + ln78	damagepercent	(ln56 + (skill('Demonic Mastery'.ln21)))	armorclass	ln91	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)	passive_summon_resist	skill('Blood Oath'.dm78)	item_pierce_damage_immunity	stat('item_pierce_damage_immunity'.accr)	damageresist	skill('Blood Oath'.dm91)	item_normaldamage	ln34	item_fasterattackrate	"min((skill('Demonic Mastery'.ln12)), 25)"										binddemon	1															1	Warlock_Skill_Bind_Demon_03									warlock_shadow_cast_2					58	106																		1	6		none													SQ	SQ	xx	6	10			4	1																								30	25					Engorge	Summon Defiler									1				1	1	8	25	1	1	1											0	HP % Modifier	(lvl >= 5)?5:0	Add certain affix based on skill lvl (5 is an index for a monster affix - Extra Strong)	(lvl >= 10)?6:0	Add certain affix based on skill lvl (6 is an index for a monster affix - Extra Fast)	(lvl >= 15)?27:0	Add certain affix based on skill lvl (27 is an index for a monster affix - Spectral Hit)	(lvl >= 20)?30:0	Add certain affix based on skill lvl (30 is an index for a monster affix - Aura Enchanted)			2	"HP Regen Behavior (0=default, no hp regen for elites, 1=no hp regen, 2=hp regen for all)"											7	Growthrate/start for % capture referenced in monpet.txt	29	Cap for % capture  referenced in monpet.txt	75	Baseline damage percent Increase	5	Damage per level increase			100	Synergy Chance to Bind w/ Death Mark  referenced in monpet.txt	100	Baseline health percent Increase	5	Heatlh per level increase	15	Life% syn other demon skills	10	dmg % syn other demon skills																	1								8																																				50	1000	0
Levitate	383	war	levitate																																													levitate_mastery	weap	1	passive_mastery_melee_crit	dm12	passive_mastery_item_req_percent	"-1*min(ln78,50)"	passive_mastery_melee_th	ln56	passive_mastery_melee_dmg	ln34																																																																								1	0		none													SC	SC	xx				1																										1	25														0	0					0	8	0	0	1	1								1																							0	Min % Chance	35	Max % Chance	25	Damage % baseline	4	Damage % per level	40	Attack Rating % baseline	5	Attack Rating % per level	2	Requirements -#% base	2	Requirements -#% per level																									1								8																																				50	1000	0
Eldritch Blast	384	war	eldritchblast	28	165													eldritchblastnova				surge_hex_explode		eldritchblastperiodic	hexbanedebuff	par3 + skill('Psychic Ward'.blvl) * par4	5																																																																						Warlock_Skill_Eldritch_Blast_03											warlock_psychic_cast_1_no_hex			60	109						eldritchblastnova				1	Missile Velocity Adder							1	4		none													SC	SC	SC																														24	25					Psychic Ward									1	1				1	1	7	11	1	1	1		1	30								"min(ln12, 20)"	lifesteal %	"min(ln12, 20)"	Manasteal %																	5	baseline life/manasteal	1	per level life/manasteal	1000	Duration baseline	50	Synergy Duration per level  (psychic ward)							50	Damage synergy	25	Duration Synergy																							1					64			8															mag	2	3	6	9	15	17	6	3	6	9	15	17	(skill('Blade Warp'.blvl)+skill('Hex Purge'.blvl))*par8								50	1000	0
Hex Bane	385	war	hex bane		23																			hexbane	hexbanedebuff	ln34		skill_armor_percent	"min(ln56,50)*-1"	item_tohit_percent	-25									domeleeattack	36	domissiledamage	36	hextrigger	36				weap	1	magicmindam	enma	magicmaxdam	exma	item_tohit_percent	toht																																									Warlock_Skill_Hex_Bane_01											warlock_psychic_cast_2																						1	4		none		1	weap			h2h							SC	SC	xx																														1	25														0	1				1	1	7	12	1	1	1											150+(((skill('Eldritch Blast'.blvl)) *par9))	Debuff Duration																							3600	Hex Duration baseline	300	Hex Duration per level	30	Defense % baseline	1	Defense % per level			50	Damage synergy	5	Duration Synergy	35	Hex Purge Damage synergy																					1	20	9						7															mag	9	3	7	11	15	19	16	5	9	13	17	21	(skill('Consume'.blvl)*pa10)+(skill('Hex Purge'.blvl)*pa10)+(skill('Mirrored Blades'.blvl)*pa10)								50	1000	0
Hex Siphon	386	war	hex siphon		23																			hexsiphon	hexsiphondebuff	ln34		damagepercent	-33											domeleeattack	36	domissiledamage	36	hextrigger	36				weap	1	item_tohit_percent	toht			item_healafterkill	ln12+(((skill('Engorge'.blvl)) *par9))			item_manaafterkill	ln56+(((skill('Engorge'.blvl)) *par9))																																					Warlock_Skill_Hex_Siphon_03											warlock_psychic_cast_2																						1	4		none		1	weap			h2h							SC	SC	xx																														24	25					Hex Purge									0	1				1	1	7	25	1	1	1											150+(((skill('Eldritch Blast'.blvl)) *par8))	Debuff Duration																			1	Life/Mana drain baseline	1	Life/Mana drain per level	3600	Hex Duration baseline	300	Hex Duration per level	1	Life/Mana drain baseline	1	Life/Mana drain per level			5	Debuff Duration synergy	1	life/mana steal synergy	1	Damage% synergy	33	damage % baseline	3	damage % steal  per level																	1	20	9						7																																				50	1000	0
Psychic Ward	387	war	psychic ward		18																			psychicward				psychicward	(ln34 + (skill('Levitate'.blvl) + skill('Cleave'.blvl)) * par8)*256	psychicwardmax	(ln34 + (skill('Levitate'.blvl) + skill('Cleave'.blvl)) * par8)*256									absorbdamage	40	damagedinmelee	37																																																						Warlock_Skill_Psychic_Ward_Cast_03				Warlock_Skill_Psychic_Ward_03					psychicward_hit0		warlock_psychic_cast_1_no_hex																						1	4		none													SC	SC	xx																				18										18	25					Cleave									0	1				1	1	8	20	2	1	1											dm12	Stun Length																			37	Stun Length baseline	85	Stun Length per level	15	Damage absorbed baseline	10	Damage absorbed per level							15	Damage Absorbed synergy		Duration Synergy																							1								8																																				50	1000	0
Echoing Strike	388	war	echoing strike		166													echoingstrike																																																																															Warlock_Skill_Soaring_Strike_Cast_03											warlock_psychic_cast_1				104						echoingstrike												1	0		rng		1	mele										SC	SC	xx																	1													12	25					Levitate									1	1				1	1	7	14	1	1	1											0	Damage %	0	Flat Damage (melee only)	0	Attack Speed % (unusable)	0	% Damage Dealt as Elemental (Only in melee and if there is an Etype)	max(min(par3+skill('Mirrored Blades'.blvl)/par4,par5),1)	Amount of attacks	(100+ln12+clc0)/(clc5*2)	Damage % override applied to attacks after the first one (100% is baseline)							(skill('Mirrored Blades'.blvl)+skill('Blade Warp'.blvl))*par8	synergy reference	25	baseline damage increase	5	per level damage increase	1	Base Projectiles	5	Lvl per projectile	5	Projectile Cap					5	Damage synergy			1	Mirrored Blade Projectile Count Synergy			1	Separate Skill Cast ID for Missiles																	1			lvl*10	8				8	96																																			50	1000	0
Hex Purge	389	war	hex purge		23																	hex_purge_explosion		hexpurge	hexpurgedebuff	ln34	par7/100													domeleedamage	36	domissiledamage	36	hextrigger	36				weap	1	attackrate	"min(30, ln56)"	item_tohit_percent	toht																																											Warlock_Skill_Hex_Purge_03											warlock_psychic_cast_2																						1	4		none		1	weap			h2h							SC	SC	xx																				1										12	25					Hex Bane									0	1				1	1	8	25	1	1	1											150+(((skill('Eldritch Blast'.blvl)) *par2))	Debuff Duration	(ln21+(skill('Sigil Death'.blvl) *pa10)) / 100	Chance to trigger explosion	"min(1+(lvl/10),3)"	Number of explosion charges (0 == infinite)															39	AuraEventFunc installed onto Target. 39 = sWarPurgeOnHitDebuff	5	Debuff Duration synergy	3600	Hex Duration baseline	300	Hex Duration per level	10	Attackspeed Baseline percent	1	attackspeed per level	400	Radius * 100	33	Radius per level * 100	10	Damage synergy	100	Chance to Explode Synergy	6900	Chance to Explode % Base * 100	50																		1	20	9		32				8															mag	10	4	8	10	14	18	15	6	10	12	16	20	(skill('Hex Bane'.blvl)+skill('Eldritch Blast'.blvl) )*par9								50	1000	0
Blade Warp	390	war	blade warp		166												1	bladewarp									par1																																																																						Warlock_Skill_Blade_Dance_Cast_03											warlock_psychic_cast_1				104						bladewarp										1		1	0		rng		1	mele										SC	SC	SC																	1													18	25					Echoing Strike							20		1	1				1	1	8	15	0	1	1											0	Damage %	0	Flat Damage (melee only)	0	Attack Speed % (unusable)	0	% Damage Dealt as Elemental (Only in melee and if there is an Etype)	1	Amount of attacks	skill('Mirrored Blades'.clc6)	Damage % override applied to attacks after the first one (100% is baseline)									4	Explosion Radius		Explosion Radius logorithmic cap	1	Mirrored Blade Projectile Count Synergy									24	Damage synergy							0	Separate Skill Cast ID for Missiles																	1								8															mag	8	3	5	8	8	8	10	3	5	8	8	8	(skill('Echoing Strike'.blvl)+skill('Mirrored Blades'.blvl))*par8								50	1000	0
Cleave	391	war	cleave	68	164																		41347																																																																										Warlock_Skill_Cleave_04											warlock_psychic_cast_1			59	103																		1	3		h2h		1	mele										SQ	SQ	xx	24		1	1											1		1													6	25					Levitate									1	1				1	1	8	3	0		1											ln12+((skill('Mirrored Blades'.blvl)+skill('Hex Purge'.blvl)+skill('Eldritch Blast'.blvl))*par9)	Damage %	0	Flat Damage	dm34	Attack Speed % (from srvstfunc 68 BarDoDoubleSwing)	0	% Damage Dealt as Elemental (Only if there is an Etype)	(lvl >= 20) ? 20 : lvl +10	Amount of slices in the circle that can be attacked	30	Total amount of slices in the circle	0	Range Bonus							20	Damage % base	5	Damage % per level	10	Attack Speed % Min	30	Attack Speed % Max									10	Damage synergy	12	Mirrored Blades Synergy for degrees arc increased																					1	50	7						8	128																																			50	1000	0
Mirrored Blades	392	war	mirrored blades	68	166																																																																																												Warlock_Skill_Blades_06														57	104										clc3	Attack Speed %	4	Max amount of visual mirrors (Requires bones to be set up on the rig)					1	4		both		1	weap			tpot							SQ	SQ	xx	25		1	1		1	1								1		1													30	25					Blade Warp	Eldritch Blast								1	1				1	1	7	10	1	1	1											0	Damage %	0	Flat Damage (melee only)	dm34	Attack Speed % (from srvstfunc 68 BarDoDoubleSwing)	0	% Damage Dealt as Elemental (Only in melee and if there is an Etype)	"min((2 + (lvl / 5)), 5)"	Amount of attacks	dm12	Damage % override applied to attacks after the first one (100% is baseline)	(lvl>15)?20:((lvl>10)?16:((lvl>5)?12:8))	melee divisor for Crushing blow on duplicates	(lvl>15)?40:((lvl>10)?32:((lvl>5)?24:16))	ranged divisor for Crushing blow on duplicates	(lvl>15)?50:((lvl>10)?40:((lvl>5)?30:20))	player divisor for Crushing blow on duplicates			50	Damage % Override Starting	120	Damage % Override Per level	10	Attack Speed % Min	30	Attack Speed % Max															0	Separate Skill Cast ID for Missiles																	1	100	15						8	128													(skill('Blade Warp'.blvl)+skill('Echoing Strike'.blvl))*par8																						50	1000	0
Sigil Lethargy	393	war	sigil lethargy		157						(lvl >= 20)?3:((lvl>=10)?2:1)							sigillethargysmall	sigillethargymedium	sigillethargylarge			2	sigil	sigillethargy	12	(lvl >= 20)?8:((lvl>=10)?6:4)	damageresist	-ln34	item_armor_percent	ln56	velocitypercent	ln78	attackrate	ln78																																																														Warlock_Skill_Seal_Lethargy_Cast_01											warlock_shadow_cast_1				101						sigillethargysmall	sigillethargymedium	sigillethargylarge										1	0		none													SC	SC	SC					4				1								1			1							necromancer_curse_cast			6	25														1	1				1	1	8	4	0	1	1									1						1	Missile Limit															7	Radius	0	Radius per level	20	Damage Resistance %	1	Damage Resistance % per level	-33	Damage Dealt %	-1	Damage Dealt % per level	-25	Slow %	0	Slow % per level																									1								8																																				50	1000	0
Ring of Fire	394	war	ring of fire		154													ringoffire	ringoffire	ringoffire																																																																													Warlock_Skill_Ring_Of_Fire_Cast_03											warlock_fire_cast_1				99						ringoffire				0	Missile Velocity Adder							1	7		none													SC	SC	xx																				154	99						sorceress_cast_fire			6	25														1	1				1	1	7	16	1	1	1											0	Missile Velocity Adder	((lvl>=10)?32:16)	# missiles																	5	number of missiles													10	Damage synergy																									1								8															fire	6	6	8	10	11	12	12	7	9	12	14	18	(skill('Flame Wave'.blvl)+skill('Apocalypse'.blvl))*par8								50	1000	0
Miasma Bolt	395	war	miasma bolt												miasmabolt																																																																																		Warlock_Skill_Miasma_Bolt_03											warlock_shadow_cast_1									miasmabolt													1	7		none													SC	SC	xx																	1			1							Warlock_Skill_Miasma_Bolt_03	cast_undead		1	25														1	1				1	1	7	4	1	1	1																																													10	Damage synergy	20	Damage synergy																							1								8															mag	1	1	2	3	3	4	3	2	3	3	4	4	(skill('Miasma Chains'.blvl)+skill('Abyss'.blvl))*par8								50	1000	0
Sigil Rancor	396	war	sigil rancor		157						(lvl >= 20)?3:((lvl>=10)?2:1)							sigilrancorsmall	sigilrancormedium	sigilrancorlarge			2	sigil	sigilrancor	12	(lvl >= 20)?8:((lvl>=10)?6:4)	damagepercent	ln34	attackrate	ln56																																																																		Warlock_Skill_Seal_Rancor_Cast_03											warlock_fire_cast_1				101						sigilrancorsmall	sigilrancormedium	sigilrancorlarge										1	0		none													SC	SC	SC					4				1								1			1							necromancer_curse_cast			12	25					Sigil Lethargy									1	1				1	1	8	12	0	1	1									1		75	Chance to confuse ai			1	Missile Limit															7	Radius	0	Radius per level	50	Damage Dealt %	5	Damage Dealt % per level	5	Attack Speed % Baseline	1	Attack Speed % per level																													1								8																																				50	1000	0
Enhanced Entropy	397	war	enhanced entropy																																													shadow_mastery																																																																																		1	0		none													SC	SC	xx																														24	25					Miasma Chains									0	0					0	8	0	0	1	1								1																							2	Baseline Miasma damage Percent increase	2	per level Miasma damage Percent increase	5	Baseline Miasma range Percent increase	1	per level Miasma range Percent increase	2	Baseline Miasma duration Percent increase	2	per level Miasma duration Percent increase	2	Baseline abyss damage Percent increase	3	per level abyss damage Percent increase	2	Baseline abyss duration Percent increase	2	per level abyss duration Percent increase																					1								8																																				50	1000	0
Flame Wave	398	war	flame wave		156													flamewaveunveiling																																																																															Warlock_Skill_Flame_Wave_Cast_01											warlock_fire_cast_1				100						flamewaveunveiling												1	6		none													SC	SC	SC																	1			156	100						sorceress_cast_fire	warlock_fire_cast_1		18	25					Ring of Fire							15		1	1				1	1	7	14	1	1	1											dm12	# of half of flamewave missiles for width	par3	delay for flamewave travel																	4	Width baseline for flamewave	7	Max length for flamewave	17	flame wave delay									15	Damage synergy	10	Damage synergy																							1								8															fire	15	9	14	20	21	25	20	11	16	21	23	27	(skill('Ring of Fire'.blvl)+skill('Apocalypse'.blvl))*par8								50	1000	0
Miasma Chains	399	war	miasma chains		167													miasmachainsmaker								125																																																																							Warlock_Skill_Miasma_Chain_Cast_03											warlock_shadow_cast_1																						1	2		none													SC	SC	SC	12			1													1			167							Warlock_Skill_Miasma_Chain_Cast_03			12	25					Miasma Bolt							15		1	1				1	1	7	9	1	1	1																	dm34	number of misasma bolts spawned																	3	baseline number of miasmabolts	12	cap for number of miasma bolts made							10	Damage synergy	20	Damage synergy																							1								8															mag	6	2	3	3	4	4	9	2	3	3	4	4	(skill('Miasma Bolt'.blvl)+skill('Abyss'.blvl))*par8								50	1000	0
Sigil Death	400	war	sigil death		157						(lvl >= 20)?3:((lvl>=10)?2:1)							sigildeathsmall	sigildeathmedium	sigildeathlarge			278530	sigil	sigildeath	12	(lvl >= 20)?8:((lvl>=10)?6:4)		100		0		1		1					damagedinmelee	34	damagedbymissile	34	killed	33	install	34																																					Sigil Death Explosion	skill('Sigil Death'.lvl)												Warlock_Skill_Seal_Death_Cast_03											warlock_shadow_cast_1				101						sigildeathsmall	sigildeathmedium	sigildeathlarge										1	0		none													SC	SC	S2					4												1			1							necromancer_curse_cast			24	25					Sigil Rancor									1	1				1	1	7	20	1	1	1									1		ln12	% HP to kill normal monsters	ln34	"% HP to kill champion, unique, and superunique monsters"	1	Missile Limit															13	HP % to kill normal monsters	0	HP % to kill normal monsters per level	10	"% HP to kill champion, unique, and superunique monsters"	0	"% HP to kill champion, unique, and superunique monsters per level"	7	Radius	0	Radius per level																													1								8															fire																					50	1000	0
Apocalypse	401	war	apocalypse		123													apocalypse				apocalypse	34691		apocalypse		(lvl >= 20)?17:((lvl>=10)?15:13)	fireresist	"-min(ln12,40)"																																																																				Warlock_Skill_Apocalypse_Cast_03											warlock_fire_cast_1				91						apocalypse												1	6		none													SC	SC	xx					4															1							Warlock_Skill_Apocalypse_Cast_03			30	25					Flame Wave	Sigil Death						25		1	1				1	1	8	32	1	1	1																															5	baseline fire pierce	1	fire immunity pierce per level											10	Damage synergy																									1								8															fire	80	23	46	69	75	95	100	25	50	75	95	115	(skill('Ring of Fire'.blvl)+skill('Flame Wave'.blvl))*par8								50	1000	0
